Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Dwayne Bravo,CSK,https://sports.ndtv.com/cricket/players/626-dwayne-bravo-playerprofile,All-Rounder ,4.40,Dwayne John Bravo,"October 7, 1983 Santa Cruz, Trinidad","38 Years, 5 Months, 9 Days",West Indies,Right Handed,Right-arm medium,T20 International,91,74,17,1255,66* v IND,0,4,73,55,22.01,115.03,44,0,8,3,77,250.5,0,2036,78,4/19 v SA,3,0,26.10,8.11,19.29,77
Shivam Dube,CSK,https://sports.ndtv.com/cricket/players/107521-shivam-dubey-playerprofile,All-Rounder ,4.00,Shivam Dube,"June 26, 1993 Mumbai","28 Years, 8 Months, 19 Days",India,Left Handed,Right-arm medium,T20 International,13,9,3,105,54 v WI,0,1,7,6,17.50,136.36,8,0,1,0,11,21.3,0,216,5,3/30 v BAN,1,0,43.20,10.04,25.80,11
Chris Jordan,CSK,https://sports.ndtv.com/cricket/players/1573-chris-jordan-playerprofile,All-Rounder ,3.60,Christopher James Jordan,"October 4, 1988 Barbados","33 Years, 5 Months, 11 Days",England,Right Handed,Right-arm fast medium,T20 International,75,43,19,358,36 v NZ,0,0,24,18,14.91,132.10,40,0,9,2,74,259.5,2,2250,80,4/6 v WI,8,0,28.12,8.65,19.48,74
Robin Uthappa,CSK,https://sports.ndtv.com/cricket/players/738-robin-uthappa-playerprofile,Batsman ,2.00,Robin Venu Uthappa,"November 11, 1985 Coorg, Karnataka","36 Years, 4 Months, 4 Days",India,Right Handed,Right-arm medium,T20 Domestic,13,12,2,249,50 v PAK,0,1,26,6,24.90,118.00,2,0,1,1,8,16,0,121,2,1/22 v MU,0,0,60.50,7.56,48.00,8
Mitchell Santner,CSK,https://sports.ndtv.com/cricket/players/51086-mitchell-josef-santner-playerprofile,All-Rounder ,1.90,Mitchell Josef Santner,"February 5, 1992 Hamilton","30 Years, 1 Months, 8 Days",New Zealand,Left Handed,Slow left-arm orthodox,T20 International,62,43,19,358,37 v PAK,0,0,25,11,14.91,123.44,26,0,5,5,61,208.2,1,1515,66,4/11 v IND,4,0,22.95,7.27,18.93,61
Adam Milne,CSK,https://sports.ndtv.com/cricket/players/1510-adam-milne-playerprofile,Bowler ,1.90,Adam Fraser Milne,"April 13, 1992 Palmerston North","29 Years, 11 Months, 2 Days",New Zealand,Right Handed,Right-arm fast,T20 International,31,10,9,33,10* v SA,0,0,1,1,33.00,100.00,6,0,2,0,31,108.5,2,854,32,4/37 v PAK,1,0,26.68,7.84,20.40,31
Rajvardhan Hangargekar,CSK,https://sports.ndtv.com/cricket/players/114985-rajvardhan-hangargekar-playerprofile,All-Rounder ,1.50,Rajvardhan S Hangargekar,"November 10, 2002 Tuljapur, Maharashtra","19 Years, 4 Months, 5 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prashant Solanki,CSK,https://sports.ndtv.com/cricket/players/115325-prashant-solanki-playerprofile,Bowler ,1.20,Prashant Hitesh Solanki,"February 22, 2000 ","22 Years, 0 Months, 22 Days",India,Right Handed,Leg break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Conway,CSK,https://sports.ndtv.com/cricket/players/45400-devon-philip-conway-playerprofile,Batsman ,1.00,Devon Philip Conway,"July 8, 1991 Johannesburg, Transvaal","30 Years, 8 Months, 8 Days",South Africa,Left Handed,Right-arm medium,,20,17,5,602,99* v AUS,0,4,62,15,50.16,139.35,11,1,0,1,,,,,,,,,,,,
Maheesh Theekshana,CSK,https://sports.ndtv.com/cricket/players/113459-maheesh-theekshana-playerprofile,Bowler ,0.70,Morawakage Maheesh Theekshana,"August 1, 2000 Colombo","21 Years, 7 Months, 14 Days",Sri Lanka,Right Handed,Off break,T20 International,15,5,2,18,7* v SA,0,0,1,1,6.00,150.00,4,0,1,1,15,56,0,359,14,3/17 v IRE,3,0,25.64,6.41,24.00,15
Dwaine Pretorius,CSK,https://sports.ndtv.com/cricket/players/1603-dwaine-pretorius-playerprofile,All-Rounder ,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayan Jagadeesan,CSK,https://sports.ndtv.com/cricket/players/108567-narayan-jagadeesan-playerprofile,Wicket-Keeper ,0.20,Narayan Jagadeesan,"December 24, 1995 Coimbatore, Tamil Nadu","26 Years, 2 Months, 23 Days",India,Right Handed,,,43,41,7,1688,105* v RTW,1,17,171,48,49.64,127.20,32,17,2,0,,,,,,,,,,,,
KM Asif,CSK,https://sports.ndtv.com/cricket/players/108603-km-asif-playerprofile,Bowler ,0.20,KM Asif,"July 24, 1993 Edavanna,Malappuram","28 Years, 7 Months, 22 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tushar Deshpande,CSK,https://sports.ndtv.com/cricket/players/107528-tushar-deshpande-playerprofile,Bowler ,0.20,Tushar Uday Deshpande,"May 15, 1995 Mumbai","26 Years, 10 Months, 1 Days",India,Left Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subhranshu Senapati,CSK,https://sports.ndtv.com/cricket/players/113463-subhranshu-senapati-playerprofile,Batsman ,0.20,Subhranshu Pradeep Senapati,"December 30, 1996 Keonijhar, Orissa","25 Years, 2 Months, 16 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhagath Varma,CSK,https://sports.ndtv.com/cricket/players/113485-k-bhagath-varma-playerprofile,All-Rounder ,0.20,Kanumuri Bhagath Varma,"September 21, 1998 Hyderabad, Andrha Pradesh","23 Years, 5 Months, 24 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simarjeet Singh,CSK,https://sports.ndtv.com/cricket/players/113456-simarjeet-singh-playerprofile,Bowler ,0.20,Simarjeet Singh,"January 17, 1998 Delhi","24 Years, 1 Months, 26 Days",India,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hari Nishaanth,CSK,https://sports.ndtv.com/cricket/players/113431-c-hari-nishanth-playerprofile,Batsman ,0.20,Chezhian Nishaanth,"August 16, 1996 Ooty (now Udagamandalam), Tamil Nadu","25 Years, 7 Months, -1 Days",India,Left Handed,Off break,T20 Domestic,38,38,2,1106,81* v ITT,0,11,79,63,30.72,128.75,14,0,3,2,7,14,0,101,7,2/16 v CSG,0,0,14.42,7.21,12.00,7
Mukesh Choudhary,CSK,https://sports.ndtv.com/cricket/players/113453-mukesh-choudhary-playerprofile,Bowler ,0.20,Mukesh Choudhary,"July 6, 1996 Pardodas, Bhilwara, Rajsthan","25 Years, 8 Months, 9 Days",India,Left Handed,Left-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shreyas Iyer,KKR,https://sports.ndtv.com/cricket/players/64384-shreyas-santosh-iyer-playerprofile,Batsman ,12.25,Shreyas Santosh Iyer,"December 6, 1994 Mumbai","27 Years, 3 Months, 9 Days",India,Right Handed,Leg break googly,,36,32,10,809,74* v SL,0,6,70,29,36.77,141.43,11,0,3,1,,,,,,,,,,,,
Andre Russell,KKR,https://sports.ndtv.com/cricket/players/1536-andre-russell-playerprofile,All-Rounder ,12.00,Andre Dwayne Russell,"April 29, 1988 Jamaica","33 Years, 10 Months, 16 Days",West Indies,Right Handed,Right-arm fast,T20 International,67,57,19,741,51 v AUS,0,1,42,62,19.50,156.00,16,0,10,3,56,148.3,0,1364,39,3/43 v AUS,1,0,34.97,9.18,22.84,56
Nitish Rana,KKR,https://sports.ndtv.com/cricket/players/64080-nitish-rana-playerprofile,All-Rounder ,8.00,Nitish Rana,"December 27, 1993 Delhi","28 Years, 2 Months, 19 Days",India,Left Handed,Off break,,2,2,0,15,9 v SL,0,0,0,0,7.50,55.55,,,0,0,,,,,,,,,,,,
Varun Chakravarthy,KKR,https://sports.ndtv.com/cricket/players/110973-varun-chakravarthy-playerprofile,Bowler ,8.00,Varun Chakravarthy Vinod,"August 29, 1991 Bidar, Karnataka","30 Years, 6 Months, 18 Days",India,Right Handed,Leg break googly,T20 International,6,1,0,0,0 v SL,0,0,0,0,0.00,0.00,,,1,0,6,22.3,0,132,2,1/18 v SL,0,0,66.00,5.86,67.50,6
Venkatesh Iyer,KKR,https://sports.ndtv.com/cricket/players/110573-venkatesh-iyer-playerprofile,All-Rounder ,8.00,Venkatesh Rajasekaran Iyer,"December 25, 1994 Indore, Madhya Pradesh","27 Years, 2 Months, 21 Days",India,Left Handed,Right-arm medium,T20 International,9,7,3,133,35* v WI,0,0,15,5,33.25,162.19,4,0,0,0,4,9.1,0,75,5,2/23 v WI,0,0,15.00,8.18,11.00,4
Shivam Mavi,KKR,https://sports.ndtv.com/cricket/players/108563-shivam-mavi-playerprofile,All-Rounder ,7.25,Shivam Pankaj Mavi,"November 26, 1998 Noida, Uttar Pradesh","23 Years, 3 Months, 19 Days",India,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Cummins,KKR,https://sports.ndtv.com/cricket/players/1656-pat-cummins-playerprofile,All-Rounder ,7.25,Patrick James Cummins,"May 8, 1993 Westmead, Sydney","28 Years, 10 Months, 7 Days",Australia,Right Handed,Right-arm fast,T20 International,39,16,7,68,13* v ENG,0,0,3,4,7.55,130.76,12,0,5,1,39,142,3,1002,44,3/15 v PAK,2,0,22.77,7.05,19.36,39
Sunil Narine,KKR,https://sports.ndtv.com/cricket/players/1456-sunil-narine-playerprofile,All-Rounder ,6.00,Sunil Philip Narine,"May 26, 1988 Arima","33 Years, 9 Months, 20 Days",West Indies,Left Handed,Off break,T20 International,51,23,8,155,30 v PAK,0,0,13,5,10.33,112.31,7,0,4,4,49,183.4,1,1105,52,4/12 v NZ,7,0,21.25,6.01,21.19,49
Umesh Yadav,KKR,https://sports.ndtv.com/cricket/players/1258-umesh-yadav-playerprofile,Bowler ,2.00,Umeshkumar Tilak Yadav,"October 25, 1987 Nagpur, Maharashtra","34 Years, 4 Months, 22 Days",India,Right Handed,Right-arm fast,T20 International,7,1,0,2,2 v AUS,0,0,0,0,2.00,50.00,3,0,0,0,7,25,0,219,9,2/19 v IRE,0,0,24.33,8.76,16.66,7
Sam Billings,KKR,https://sports.ndtv.com/cricket/players/51406-samuel-william-billings-playerprofile,Wicket-Keeper ,2.00,Samuel William Billings,"June 15, 1991 Pembury, Kent","30 Years, 9 Months, 1 Days",England,Right Handed,,,37,33,5,478,87 v WI,0,2,41,16,17.07,129.89,17,2,2,3,,,,,,,,,,,,
Tim Southee,KKR,https://sports.ndtv.com/cricket/players/1032-tim-southee-playerprofile,Bowler ,1.50,Timothy Grant Southee,"December 11, 1988 Whangarei, Northland","33 Years, 3 Months, 4 Days",New Zealand,Right Handed,Right-arm medium fast,T20 International,92,36,14,249,39 v ENG,0,0,16,16,11.31,142.28,47,0,9,4,90,332.5,2,2729,111,5/18 v PAK,11,1,24.58,8.19,17.99,90
Alex Hales,KKR,https://sports.ndtv.com/cricket/players/1562-alex-hales-playerprofile,Batsman ,1.50,Alexander Daniel Hales,"January 3, 1989 Hillingdon, Middlesex","33 Years, 2 Months, 12 Days",England,Right Handed,Right-arm medium,,60,60,7,1644,116* v SL,1,8,175,55,31.01,136.65,32,0,,,,,,,,,,,,,,
Mohammad Nabi,KKR,https://sports.ndtv.com/cricket/players/1313-mohammad-nabi-playerprofile,All-Rounder ,1.00,Mohammad Nabi,"January 1, 1985 Loger, Afghanistan","37 Years, 2 Months, 14 Days",Afghanistan,Right Handed,Off break,T20 International,88,81,14,1539,89 v IRE,0,4,103,85,22.97,142.23,49,0,4,5,87,287.4,5,2074,74,4/10 v IRE,3,0,28.02,7.20,23.32,87
Ajinkya Rahane,KKR,https://sports.ndtv.com/cricket/players/965-ajinkya-rahane-playerprofile,Batsman ,1.00,Ajinkya Madhukar Rahane,"June 6, 1988 Ashwi-KD,Maharashtra","33 Years, 9 Months, 9 Days",India,Right Handed,Right-arm medium,,20,20,2,375,61 v ENG,0,1,32,6,20.83,113.29,16,0,2,1,,,,,,,,,,,,
Sheldon Jackson,KKR,https://sports.ndtv.com/cricket/players/27641-sheldon-philip-jackson-playerprofile,Wicket-Keeper ,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rinku Singh,KKR,https://sports.ndtv.com/cricket/players/106742-rinku-singh-playerprofile,Batsman ,0.55,Rinku Khanchand Singh,"October 12, 1997 Aligarh, Uttar Pradesh","24 Years, 5 Months, 3 Days",India,Left Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashok Sharma,KKR,https://sports.ndtv.com/cricket/players/115359-ashok-sharma-playerprofile,Bowler ,0.55,Ashok Sharma,"June 17, 2002 ","19 Years, 8 Months, 28 Days",India,Right Handed,Right-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamika Karunaratne,KKR,https://sports.ndtv.com/cricket/players/64316-chamika-karunaratne-playerprofile,All-Rounder ,0.50,Chamika Karunaratne,"May 29, 1996","25 Years, 9 Months, 17 Days",Sri Lanka,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhijeet Tomar,KKR,https://sports.ndtv.com/cricket/players/108580-abhijeet-tomar-playerprofile,Batsman ,0.40,Abhijeet Tomar,"March 14, 1995 Jaipur, Rajasthan","27 Years, 0 Months, 2 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anukul Roy,KKR,https://sports.ndtv.com/cricket/players/108575-anukul-roy-playerprofile,All-Rounder ,0.20,Anukul Sudhakar Roy,"November 30, 1998 Saraikela Kharswan, Jharkhand","23 Years, 3 Months, 15 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pratham Singh,KKR,https://sports.ndtv.com/cricket/players/107537-pratham-singh-playerprofile,Batsman ,0.20,Pratham Singh,"August 31, 1992 Delhi","29 Years, 6 Months, 15 Days",India,Left Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasikh Dar,KKR,https://sports.ndtv.com/cricket/players/110974-rasikh-salam-playerprofile,Bowler ,0.20,Rasikh Salam Dar,"April 5, 2001 ","20 Years, 11 Months, 10 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramesh Kumar,KKR,https://sports.ndtv.com/cricket/players/115360-ramesh-kumar-playerprofile,Batsman ,0.20,Ramesh Kumar,"January 1, 1999 ","23 Years, 2 Months, 14 Days",India,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aman Khan,KKR,https://sports.ndtv.com/cricket/players/115300-aman-khan-playerprofile,All-Rounder ,0.20,Aman Hakim Khan,"November 23, 1996 ","25 Years, 3 Months, 22 Days",India,Right Handed,Right-arm medium,T20 Domestic,8,6,2,224,85 v TKMNE,0,2,19,14,56.00,172.30,4,0,0,0,2,2,0,21,1,1/9 v OMN,0,0,21.00,10.50,12.00,2
Baba Indrajith,KKR,https://sports.ndtv.com/cricket/players/64703-baba-indrajith-playerprofile,Wicket-Keeper ,0.20,Baba Indrajith,"July 8, 1994 Madras (now Chennai)","27 Years, 8 Months, 7 Days",India,Right Handed,Leg break googly,,28,26,6,595,70 v SMP,0,3,51,17,29.75,117.58,16,2,1,0,,,,,,,,,,,,
Rishabh Pant,DC,https://sports.ndtv.com/cricket/players/107048-rishabh-pant-playerprofile,Wicket-Keeper ,16.00,Rishabh Rajendra Pant,"October 4, 1997 Haridwar, Uttarakhand","24 Years, 5 Months, 11 Days",India,Left Handed,,,43,37,9,683,65* v WI,0,3,51,29,24.39,125.78,13,7,3,2,,,,,,,,,,,,
Shardul Thakur,DC,https://sports.ndtv.com/cricket/players/63779-shardul-narendra-thakur-playerprofile,Bowler ,10.75,Shardul Narendra Thakur,"October 16, 1991 Palghar, Maharashtra","30 Years, 5 Months, 0 Days",India,Right Handed,Right-arm medium fast,T20 International,25,6,3,69,22* v SL,0,0,5,4,23.00,181.57,7,0,2,0,24,84.2,0,772,33,4/27 v SL,3,0,23.39,9.15,15.33,24
Axar Patel,DC,https://sports.ndtv.com/cricket/players/63024-akshar-rajeshbhai-patel-playerprofile,All-Rounder ,9.00,Axar Rajeshbhai Patel,"January 20, 1994 Anand, Gujarat","28 Years, 1 Months, 23 Days",India,Left Handed,Slow left-arm orthodox,T20 International,15,10,6,78,20* v ZIM,0,0,4,3,19.50,125.80,5,0,0,0,15,53,0,355,13,3/9 v NZ,2,0,27.30,6.69,24.46,15
Prithvi Shaw,DC,https://sports.ndtv.com/cricket/players/107533-prithvi-shaw-playerprofile,Batsman ,7.50,Prithvi Pankaj Shaw,"November 9, 1999 Thane, Maharashtra","22 Years, 4 Months, 7 Days",India,Right Handed,Off break,,1,1,0,0,0 v SL,0,0,0,0,0.00,0.00,1,0,1,0,,,,,,,,,,,,
Mitchell Marsh,DC,https://sports.ndtv.com/cricket/players/1425-mitchell-marsh-playerprofile,All-Rounder ,6.50,Mitchell Ross Marsh,"October 20, 1991 Attadale, Perth","30 Years, 4 Months, 27 Days",Australia,Right Handed,Right-arm medium,T20 International,36,35,7,885,77* v NZ,0,6,70,35,31.60,125.00,13,0,2,0,20,40,0,306,15,3/24 v WI,1,0,20.40,7.65,16.00,20
Anrich Nortje,DC,https://sports.ndtv.com/cricket/players/64072-anrich-nortje-playerprofile,Bowler ,6.50,Anrich Arno Nortje,"November 16, 1993 ","28 Years, 4 Months, -1 Days",South Africa,Right Handed,Right-arm fast,T20 International,16,5,2,8,4* v WI,0,0,0,0,2.66,40.00,4,0,2,1,16,58.2,0,394,18,3/8 v BAN,1,0,21.88,6.75,19.44,16
David Warner,DC,https://sports.ndtv.com/cricket/players/1285-david-warner-playerprofile,Batsman ,6.25,David Andrew Warner,"October 27, 1986 Paddington, New South Wales","35 Years, 4 Months, 19 Days",Australia,Left Handed,Leg break,,88,88,10,2554,100* v SL,1,21,250,99,32.74,140.48,47,0,6,4,,,,,,,,,,,,
Khaleel Ahmed,DC,https://sports.ndtv.com/cricket/players/107233-khaleel-ahmed-playerprofile,Bowler ,5.25,Khaleel Khursheed Ahmed,"December 5, 1997 Tonk, Rajasthan","24 Years, 3 Months, 10 Days",India,Right Handed,Left-arm medium,T20 International,14,1,1,1,1* v NZ,0,0,0,0,,100.00,3,0,0,0,14,52,1,459,13,2/27 v NZ,0,0,35.30,8.82,24.00,14
Chetan Sakariya,DC,https://sports.ndtv.com/cricket/players/110598-chetan-sakariya-playerprofile,Bowler ,4.20,Chetan Sakariya,"February 28, 1998 Bhavnagar","24 Years, 0 Months, 15 Days",India,Left Handed,Left-arm medium fast,T20 International,2,1,1,5,5* v SL,0,0,0,0,,55.55,,,0,0,1,3.4,0,34,1,1/34 v SL,0,0,34.00,9.27,22.00,1
Rovman Powell,DC,https://sports.ndtv.com/cricket/players/107485-rovman-powell-playerprofile,Batsman ,2.80,Rovman Powell,"July 23, 1993 ","28 Years, 7 Months, 23 Days",West Indies,Right Handed,Right-arm medium fast,T20 International,39,31,6,619,107 v ENG,1,3,41,37,24.76,138.78,18,0,2,0,7,14,0,123,4,2/31 v SL,0,0,30.75,8.78,21.00,7
Kuldeep Yadav,DC,https://sports.ndtv.com/cricket/players/63624-kuldeep-yadav-playerprofile,Bowler ,2.00,Kuldeep Yadav,"December 14, 1994 Kanpur, Uttar Pradesh","27 Years, 3 Months, 1 Days",India,Left Handed,Slow left-arm chinaman,T20 International,24,3,2,43,23* v SL,0,0,2,0,43.00,89.58,8,0,0,0,23,85.3,1,605,41,5/24 v ENG,3,1,14.75,7.07,12.51,23
Srikar Bharat,DC,https://sports.ndtv.com/cricket/players/60643-kona-srikar-bharat-playerprofile,Wicket-Keeper ,2.00,Kona Srikar Bharat,"October 3, 1993 Visakhapatnam, Andhra Pradesh","28 Years, 5 Months, 12 Days",India,Right Handed,,,10,10,0,324,80 v CHXI,0,3,30,19,32.40,147.27,9,2,1,1,,,,,,,,,,,,
Mustafizur Rahman,DC,https://sports.ndtv.com/cricket/players/64306-mustafizur-rahman-playerprofile,Bowler ,2.00,Mustafizur Rahman,"September 6, 1995 Satkhira","26 Years, 6 Months, 10 Days",Bangladesh,Left Handed,Left-arm fast medium,T20 International,63,22,7,59,15 v AFG,0,0,3,3,3.93,69.41,13,0,9,2,63,225.4,6,1710,87,5/22 v NZ,8,1,19.65,7.57,15.56,63
Kamlesh Nagarkoti,DC,https://sports.ndtv.com/cricket/players/108584-kamlesh-nagarkoti-playerprofile,All-Rounder ,1.10,Kamlesh Lachham Nagarkoti,"December 28, 1999 Barmer, Rajasthan","22 Years, 2 Months, 19 Days",India,Right Handed,Right-arm fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandeep Singh,DC,https://sports.ndtv.com/cricket/players/1429-mandeep-singh-playerprofile,Batsman ,1.10,Mandeep Singh,"December 18, 1991 Jalandhar, Punjab","30 Years, 2 Months, 29 Days",India,Right Handed,Right-arm medium,,3,3,1,87,52* v ZIM,0,1,11,1,43.50,119.17,1,0,0,0,,,,,,,,,,,,
Lalit Yadav,DC,https://sports.ndtv.com/cricket/players/108549-lalit-yadav-playerprofile,All-Rounder ,0.65,Lalit Yadav,"January 3, 1997 Delhi","25 Years, 2 Months, 12 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Dhull,DC,https://sports.ndtv.com/cricket/players/114978-yash-dhull-playerprofile,All-Rounder ,0.50,Yash Vijay Dhull,"November 11, 2002 ","19 Years, 4 Months, 4 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lungi Ngidi,DC,https://sports.ndtv.com/cricket/players/64640-lungisani-ngidi-playerprofile,Bowler ,0.50,Lungisani True-man Ngidi,"March 29, 1996 Durban, Natal","25 Years, 11 Months, 17 Days",South Africa,Right Handed,Right-arm fast medium,T20 International,23,5,1,7,4 v SL,0,0,0,0,1.75,41.17,3,0,2,0,23,78.5,0,706,36,4/19 v SL,4,0,19.61,8.95,13.13,23
Tim Seifert,DC,https://sports.ndtv.com/cricket/players/64292-tim-l-seifert-playerprofile,Wicket-Keeper ,0.50,Tim Louis Seifert,"December 14, 1994 Wanganui","27 Years, 3 Months, 1 Days",New Zealand,Right Handed,,,40,37,5,753,84 v IND,0,5,63,37,23.53,129.82,21,6,3,2,,,,,,,,,,,,
Pravin Dubey,DC,https://sports.ndtv.com/cricket/players/63981-praveen-dubey-playerprofile,All-Rounder ,0.50,Pravin Dubey,"July 1, 1993 Azamgarh, Uttar Pradesh","28 Years, 8 Months, 14 Days",India,Right Handed,Leg break googly,T20 Domestic,44,35,11,638,52 v MW,0,1,49,15,26.58,123.16,19,0,2,2,42,128.1,1,920,32,4/19 v SL,2,0,28.75,7.17,24.03,42
Ashwin Hebbar,DC,https://sports.ndtv.com/cricket/players/110570-ashwin-hebbar-playerprofile,Batsman ,0.20,Kattingeri Ashwin Hebbar,"November 15, 1995 Nellore, Andhra Pradesh","26 Years, 4 Months, 1 Days",India,Right Handed,Right-arm medium,T20 Domestic,11,11,5,283,62* v CGXI,0,2,9,15,47.16,128.05,6,0,0,0,11,42,0,345,15,4/34 v LGXI,1,0,23.00,8.21,16.80,11
Ripal Patel,DC,https://sports.ndtv.com/cricket/players/113434-ripal-patel-playerprofile,All-Rounder ,0.20,Ripal Vinubhai Patel,"September 28, 1995 Nadiad","26 Years, 5 Months, 18 Days",India,Right Handed,Right-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicky Ostwal,DC,https://sports.ndtv.com/cricket/players/114987-vicky-ostwal-playerprofile,All-Rounder ,0.20,Vicky Kanhaiya Ostwal,"September 1, 2002 ","19 Years, 6 Months, 14 Days",India,Right Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarfaraz Khan,DC,https://sports.ndtv.com/cricket/players/64385-sarfaraz-naushad-khan-playerprofile,All-Rounder ,0.20,Sarfaraz Naushad Khan,"October 22, 1997 Mumbai","24 Years, 4 Months, 24 Days",India,Right Handed,Leg break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL Rahul,LSG,https://sports.ndtv.com/cricket/players/1688-lokesh-rahul-playerprofile,Wicket-keeper ,17.00,Kannaur Lokesh Rahul,"April 18, 1992 Bangalore, Karnataka","29 Years, 10 Months, 27 Days",India,Right Handed,,T20 Domestic,56,52,7,1831,110* v WI,2,16,164,73,40.68,142.49,20,1,4,0,1,1,0,8,0,0/8 v RS,0,0,,8.00,,1
Avesh Khan,LSG,https://sports.ndtv.com/cricket/players/64916-avesh-khan-playerprofile,Bowler ,10.00,Avesh Khan,"December 13, 1996 Indore, Madhya Pradesh","25 Years, 3 Months, 2 Days",India,Right Handed,Right-arm medium fast,T20 International,2,0,0,,,0,0,0,0,,0.00,,,0,0,2,8,1,65,2,2/23 v SL,0,0,32.50,8.12,24.00,2
Marcus Stoinis,LSG,https://sports.ndtv.com/cricket/players/42327-marcus-peter-stoinis-playerprofile,All-Rounder ,9.20,Marcus Peter Stoinis,"August 16, 1989 Perth","32 Years, 7 Months, -1 Days",Australia,Right Handed,Right-arm medium,T20 International,40,32,13,542,78 v NZ,0,1,50,19,28.52,136.86,15,0,2,2,22,53.2,0,449,11,2/27 v IND,0,0,40.81,8.41,29.09,22
Jason Holder,LSG,https://sports.ndtv.com/cricket/players/1446-jason-holder-playerprofile,All-Rounder ,8.75,Jason Omar Holder,"November 5, 1991 Barbados","30 Years, 4 Months, 11 Days",West Indies,Right Handed,Right-arm medium fast,T20 International,37,24,8,264,36 v ENG,0,0,14,16,16.50,121.10,19,0,3,1,34,123.4,1,1008,39,5/27 v ENG,1,1,25.84,8.15,19.02,34
Krunal Pandya,LSG,https://sports.ndtv.com/cricket/players/64213-krunal-himashu-pandya-playerprofile,All-Rounder ,8.25,Krunal Himashu Pandya,"March 24, 1991 Ahmedabad, Gujarat","30 Years, 11 Months, 23 Days",India,Left Handed,Slow left-arm orthodox,T20 International,19,10,5,124,26* v NZ,0,0,8,6,24.80,130.52,8,0,0,0,19,68.2,1,554,15,4/36 v AUS,1,0,36.93,8.10,27.33,19
Mark Wood,LSG,https://sports.ndtv.com/cricket/players/51060-mark-andrew-wood-playerprofile,Bowler ,7.50,Mark Andrew Wood,"January 11, 1990 Ashington, Northumberland","32 Years, 2 Months, 4 Days",England,Right Handed,Right-arm fast,T20 International,19,3,3,11,5* v NZ,0,0,1,0,,84.61,,,0,0,19,71.3,1,621,26,3/9 v WI,3,0,23.88,8.68,16.50,19
Quinton de Kock,LSG,https://sports.ndtv.com/cricket/players/1577-quinton-de-kock-playerprofile,Wicket-Keeper ,6.75,Quinton de Kock,"December 17, 1992 Johannesburg, Gauteng","29 Years, 2 Months, 29 Days",South Africa,Left Handed,,,61,61,7,1827,79* v IND,0,11,189,65,33.83,135.03,49,15,4,2,,,,,,,,,,,,
Deepak Hooda,LSG,https://sports.ndtv.com/cricket/players/64174-deepak-jagbir-hooda-playerprofile,All-Rounder ,5.75,Deepak Jagbir Hooda,"April 19, 1995 Rohtak","26 Years, 10 Months, 27 Days",India,Right Handed,Off break,T20 International,3,1,0,21,21 v SL,0,0,1,1,21.00,131.25,,,0,0,1,3,0,24,0,0/24 v SL,0,0,,8.00,,1
